n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,NF1 Recovery Error with BigClam,NF1 Recovery Error with M-NMF,NF1 Recovery Error with SLPA,NF1 Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,300,5,81,0.003148309,0.020698176,0.000164841,25,0.734,0.296,0.884,0.964,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,72,0.009020135,0.054937217,0.000556386,25,0.884,0.318,0.884,0.62,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,60,0.034339102,0.197335853,0.002319704,25,0.72,0.296,0.379,0.696,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,51,0.088286747,0.506768646,0.005635022,25,0.578,0.314,0.888,0.811038961,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,42,0.214846106,1,0.011114512,25,0.586,0.31,0.888,0.56,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,30,0.646869659,1,0.01553631,25,0.764,0.306,0.888,0.7984,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,21,1,1,0.005783896,25,0.698,0.308,0.888,0.68,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,12,1,1,2.95E-09,25,0.7,0.302,0.734,0.706666667,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,6,1,1,0.003353476,25,0.888,0.302,0.888,0.913802083,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,3,1,1,1,25,0.888,0.302,0.888,0.899166667,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,81,0.003148309,0.020698176,0.000164841,25,0.574,0.31,0.888,0.444,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,72,0.009020135,0.054937217,0.000556386,25,0.884,0.318,0.884,0.62,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,60,0.034339102,0.197335853,0.002319704,25,0.72,0.296,0.379,0.696,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,51,0.088286747,0.506768646,0.005635022,25,0.578,0.314,0.888,0.811038961,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
30000,300,5,42,0.214846106,1,0.011114512,25,0.586,0.31,0.888,0.56,500,116.886117,50,3,0.171815878,0.017181588,1,0.25
