n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,NF1 Recovery Error with BigClam,NF1 Recovery Error with M-NMF,NF1 Recovery Error with SLPA,NF1 Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,20,5,50,1,1,1,15,0.777734375,0.182,0.488,0.652,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,100,5,50,1,1,0.355195922,15,0.729375,0.18,0.362,0.54,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,150,5,50,0.326537683,1,0.040172089,15,0.218,0.208,0.346,0.224,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,200,5,50,0.073845231,0.410913609,0.004855944,15,0.348,0.204,0.344,0.54,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,300,5,50,0.004168832,0.049393429,7.43E-05,15,0.534,0.202,0.58,0.6,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.24,0.23,0.33,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,500,5,50,1.44E-05,0.000840678,1.78E-08,15,0.238,0.22,0.226,0.378,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,20,5,50,1,1,1,15,0.777734375,0.182,0.488,0.652,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,100,5,50,1,1,0.355195922,15,0.729375,0.18,0.362,0.54,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,150,5,50,0.326537683,1,0.040172089,15,0.218,0.208,0.346,0.224,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,200,5,50,0.073845231,0.410913609,0.004855944,15,0.348,0.204,0.344,0.54,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,300,5,50,0.004168832,0.049393429,7.43E-05,15,0.534,0.202,0.58,0.6,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,400,5,50,0.000244154,0.00637426,1.15E-06,15,0.24,0.23,0.33,0.228,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,500,5,50,1.44E-05,0.000840678,1.78E-08,15,0.238,0.22,0.226,0.378,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,20,5,50,1,1,1,15,0.777734375,0.182,0.488,0.652,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,100,5,50,1,1,0.355195922,15,0.729375,0.18,0.362,0.54,500,116.886117,50,2,0.171815878,0.017181588,1,0.333333333
30000,20,5,50,1,1,1,15,0.777734375,0.178,0.488,0.548,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,100,5,50,0.060712554,0.518585283,1.82E-07,15,0.729375,0.18,0.362,0.54,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,150,5,50,0.003091962,0.068276644,1.37E-11,15,0.218,0.208,0.334,0.224,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,200,5,50,0.000163688,0.009705763,1.06E-15,15,0.348,0.204,0.344,0.54,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,300,5,50,4.67E-07,0.000208193,6.26E-24,15,0.536,0.202,0.728,0.892,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,400,5,50,1.33E-09,4.53E-06,3.71E-32,15,0.24,0.23,0.334,0.228,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,500,5,50,3.81E-12,9.89E-08,2.20E-40,15,0.238,0.224,0.226,0.378,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,20,5,50,1,1,1,15,0.777734375,0.178,0.488,0.548,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,100,5,50,0.060712554,0.518585283,1.82E-07,15,0.729375,0.18,0.362,0.54,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,150,5,50,0.003091962,0.068276644,1.37E-11,15,0.218,0.208,0.334,0.224,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,200,5,50,0.000163688,0.009705763,1.06E-15,15,0.348,0.204,0.344,0.54,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,300,5,50,4.67E-07,0.000208193,6.26E-24,15,0.536,0.202,0.728,0.892,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,400,5,50,1.33E-09,4.53E-06,3.71E-32,15,0.24,0.23,0.334,0.228,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
30000,500,5,50,3.81E-12,9.89E-08,2.20E-40,15,0.238,0.224,0.226,0.378,1000,301.3932023,50,2,0.343631755,0.017181588,1,0.333333333
