n,m,K,r,Failure UB Error,Community Recovery Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,10,2,50,1,0.07,1,1,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,2,50,0.975775636,0.11,1,0.580138545,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,2,50,0.219432192,0.1,0.462552662,0.06833228,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,2,50,0.021772784,0.11,0.088012393,0.002261992,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,2,50,0.002252969,0.085,0.017837469,7.60E-05,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,2,50,0.000234234,0.105,0.003672882,2.56E-06,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,2,50,1,0.8475,1,1,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,2,50,0.975775636,0.09,1,0.580138545,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,2,50,0.219432192,0.1,0.462552662,0.06833228,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,2,50,0.021772784,0.11,0.088012393,0.002261992,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,2,50,0.002252969,0.085,0.017837469,7.60E-05,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,2,50,0.000234234,0.105,0.003672882,2.56E-06,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,2,50,1,0.17,1,1,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,2,50,0.975775636,0.09,1,0.580138545,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,2,50,0.219432192,0.1,0.462552662,0.06833228,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,2,50,0.021772784,0.11,0.088012393,0.002261992,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,2,50,0.002252969,0.085,0.017837469,7.60E-05,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,2,50,0.000234234,0.105,0.003672882,2.56E-06,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,5,50,1,0.626971429,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,5,50,1,0.525555556,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,5,50,1,0.286,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,5,50,1,0.196,1,0.355195922,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,5,50,0.326537683,0.258,1,0.040172089,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,5,50,0.073845231,0.204,0.410913609,0.004855944,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,5,50,1,0.639771429,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,5,50,1,0.532857143,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,5,50,1,0.314,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,5,50,1,0.212,1,0.355195922,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,5,50,0.326537683,0.282,1,0.040172089,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,5,50,0.073845231,0.54304,0.410913609,0.004855944,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,5,50,1,0.648,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,5,50,1,0.58,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,5,50,1,0.3,1,1,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,5,50,1,0.196,1,0.355195922,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,5,50,0.326537683,0.5712,1,0.040172089,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,5,50,0.073845231,0.266,0.410913609,0.004855944,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,2,50,1,0,1,1,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,2,50,0.975775636,0.09,1,0.580138545,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,2,50,0.219432192,0.1,0.462552662,0.06833228,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,2,50,0.021772784,0.11,0.088012393,0.002261992,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,2,50,0.002252969,0.085,0.017837469,7.60E-05,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,2,50,0.000234234,0.105,0.003672882,2.56E-06,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,300,5,50,0.004168832,0.188,0.049393429,7.43E-05,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,300,5,50,0.004168832,0.238,0.049393429,7.43E-05,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,300,5,50,0.004168832,0.238,0.049393429,7.43E-05,15,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,300,2,50,2.53E-06,0.1,0.000157049,2.89E-09,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,300,2,50,2.53E-06,0.085,0.000157049,2.89E-09,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,300,2,50,2.53E-06,0.085,0.000157049,2.89E-09,3,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
