n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,Recovery Error with BigClam,Recovery Error with M-NMF,Recovery Error with SLPA,Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000,10,5,50,1,1,1,15,0.798095238,0.684977778,0.866,0.866,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,5,50,1,1,1,15,0.575714286,0.56096,0.876,0.885333333,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,5,50,1,1,1,15,0.878,0.646933333,0.878,0.811,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,5,50,1,1,0.355195922,15,0.888,0.222,0.888,0.895454545,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,5,50,0.326537683,1,0.040172089,15,0.892,0.196,0.892,0.91225,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,5,50,0.073845231,0.410913609,0.004855944,15,0.906,0.202,0.906,0.91872,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,5,50,1,1,1,15,0.692346939,0.578181818,0.464,0.538,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,5,50,1,1,1,15,0.694,0.6096,0.876,0.844,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,5,50,1,1,1,15,0.878,0.65184,0.878,0.877375,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,5,50,1,1,0.355195922,15,0.888,0.216,0.888,0.843888889,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,5,50,0.326537683,1,0.040172089,15,0.892,0.192,0.892,0.891666667,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,5,50,0.073845231,0.410913609,0.004855944,15,0.906,0.234,0.906,0.913142857,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,5,50,1,1,1,15,0.692346939,0.578181818,0.464,0.538,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,5,50,1,1,1,15,0.694,0.6096,0.876,0.844,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,5,50,1,1,1,15,0.878,0.65184,0.878,0.877375,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,5,50,1,1,0.355195922,15,0.888,0.216,0.888,0.843888889,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,5,50,0.326537683,1,0.040172089,15,0.892,0.192,0.892,0.891666667,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,5,50,0.073845231,0.410913609,0.004855944,15,0.906,0.234,0.906,0.913142857,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,2,50,1,1,1,3,0.631111111,0.83875,0.525,0.335,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,20,2,50,0.975775636,1,0.580138545,3,0.851428571,0.04,0.605,0.711111111,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,50,2,50,0.219432192,0.462552662,0.06833228,3,0.6,0.115,0.6,0.6,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,100,2,50,0.021772784,0.088012393,0.002261992,3,0.61,0.13,0.61,0.83625,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,150,2,50,0.002252969,0.017837469,7.60E-05,3,0.615,0.095,0.615,0.606666667,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,200,2,50,0.000234234,0.003672882,2.56E-06,3,0.625,0.09,0.625,0.907142857,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
30000,10,2,50,1,1,1,3,0.631111111,0.83875,0.525,0.335,500,116.886117,50,2,0.171815878,0.017181588,1,0.001
