n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,Recovery Error with M-NMF,Recovery Error with SLPA,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000.0,400.0,5.0,2.0,1.0,0.011677076646347364,1.0,15.0,0.20799999999999985,0.904,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,6.0,1.0,1.0,1.4727692905619296e-11,15.0,0.20199999999999996,0.904,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,10.0,0.18157754482490135,1.0,8.690900217186623e-22,15.0,0.21799999999999997,0.898,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,20.0,0.028510646674619663,1.0,2.5422363053039434e-07,15.0,0.254,0.902,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,30.0,0.006815932058100701,0.2316307880937211,5.2525592546509915e-06,15.0,0.21199999999999997,0.9,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,2.0,1.0,0.011677076646347364,1.0,15.0,0.19400000000000017,0.9,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,6.0,1.0,1.0,1.4727692905619296e-11,15.0,0.20999999999999996,0.9,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,10.0,0.18157754482490135,1.0,8.690900217186623e-22,15.0,0.28400000000000003,0.904,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,20.0,0.028510646674619663,1.0,2.5422363053039434e-07,15.0,0.20400000000000007,0.9,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,30.0,0.006815932058100701,0.2316307880937211,5.2525592546509915e-06,15.0,0.20200000000000007,0.902,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,2.0,1.0,0.011677076646347364,1.0,15.0,0.19000000000000006,0.902,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,6.0,1.0,1.0,1.4727692905619296e-11,15.0,0.20799999999999996,0.616,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,10.0,0.18157754482490135,1.0,8.690900217186623e-22,15.0,0.21799999999999997,0.902,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,20.0,0.028510646674619663,1.0,2.5422363053039434e-07,15.0,0.21199999999999997,0.902,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,30.0,0.006815932058100701,0.2316307880937211,5.2525592546509915e-06,15.0,0.19599999999999995,0.908,500.0,116.88611699158102,50.0,2.0,0.17181587767740486,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,2.0,1.0,0.0058068882024694905,1.0,15.0,0.20199999999999996,0.902,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,6.0,0.014213460893174329,1.0,3.2110161124040566e-18,15.0,0.19199999999999995,0.906,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,10.0,0.0007963847400369331,1.0,1.239353137924733e-24,15.0,0.19999999999999996,0.9,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,20.0,1.2350900320945683e-07,0.009445695599415648,2.614573892001623e-29,15.0,0.21400000000000008,0.902,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,30.0,3.080230982894773e-12,1.3205904589944395e-05,7.194095207306469e-31,15.0,0.19399999999999995,0.9,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,2.0,1.0,0.0058068882024694905,1.0,15.0,0.20199999999999996,0.904,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,6.0,0.014213460893174329,1.0,3.2110161124040566e-18,15.0,0.20199999999999996,0.904,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,10.0,0.0007963847400369331,1.0,1.239353137924733e-24,15.0,0.258,0.898,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,20.0,1.2350900320945683e-07,0.009445695599415648,2.614573892001623e-29,15.0,0.20599999999999996,0.9,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,2.0,1.0,0.0058068882024694905,1.0,15.0,0.21599999999999997,0.9,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,6.0,0.014213460893174329,1.0,3.2110161124040566e-18,15.0,0.20399999999999996,0.9,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,10.0,0.0007963847400369331,1.0,1.239353137924733e-24,15.0,0.20399999999999996,0.608,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,20.0,1.2350900320945683e-07,0.009445695599415648,2.614573892001623e-29,15.0,0.5609599999999999,0.6,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
30000.0,400.0,5.0,30.0,3.080230982894773e-12,1.3205904589944395e-05,7.194095207306469e-31,15.0,0.20199999999999996,0.902,2000.0,708.7722339831621,50.0,2.0,0.6872635107096194,0.017181587767740487,1.0,0.001
