n,m,K,r,Failure UB Error,Failure UB Error (Highest U),Failure UB Error (Lowest U),K_nu,NF1 Recovery Error with BigClam,NF1 Recovery Error with M-NMF,NF1 Recovery Error with SLPA,NF1 Recovery Error with nnsed,alpha,alpha-beta Gap,beta,nu,p,q,scaling,tauTilde
30000.0,10.0,5.0,50.0,1.0,1.0,1.0,15.0,0.836,0.5449999999999999,0.5,0.3850000000000001,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,20.0,5.0,50.0,1.0,1.0,1.0,15.0,0.694,0.22399999999999998,0.6759999999999999,0.30000000000000004,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,50.0,5.0,50.0,1.0,1.0,1.0,15.0,0.518,0.21399999999999997,0.528,0.628,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,100.0,5.0,50.0,1.0,1.0,0.335521315808661,15.0,0.896,0.21599999999999986,0.5,0.694,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,150.0,5.0,50.0,1.0,1.0,0.03711092277464947,15.0,0.892,0.21599999999999997,0.512,0.41200000000000003,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,200.0,5.0,50.0,0.7711990247370936,1.0,0.004377475845110596,15.0,0.592,0.19200000000000017,0.23399999999999999,0.8921142857142857,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,300.0,5.0,50.0,0.12083313231058142,1.0,6.36894957013343e-05,15.0,0.894,0.19999999999999996,0.496,0.514,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,400.0,5.0,50.0,0.02053879824844984,1.0,9.357892453517687e-07,15.0,0.902,0.21999999999999997,0.33000000000000007,0.5199999999999999,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,500.0,5.0,50.0,0.003594274741425447,0.46514728867898397,1.37615667715857e-08,15.0,0.9,0.20799999999999996,0.35199999999999987,0.7253333333333334,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,10.0,2.0,50.0,1.0,1.0,1.0,3.0,0.5549999999999999,0.84875,0.09999999999999998,0.5549999999999999,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,20.0,2.0,50.0,1.0,1.0,0.5464558032588748,3.0,0.5900000000000001,0.13,0.5900000000000001,0.5900000000000001,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,50.0,2.0,50.0,0.5662354935335889,1.0,0.060462590809902614,3.0,-0.54,0.10999999999999999,-0.54,-0.54,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,100.0,2.0,50.0,0.13021770566783242,0.7556252505166436,0.0017849524788106901,3.0,0.62,0.07499999999999996,0.08000000000000007,0.62,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,150.0,2.0,50.0,0.03193386606057966,0.39700627521502585,5.3301256183250364e-05,3.0,0.61,0.12,0.14,0.61,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,200.0,2.0,50.0,0.00797017843135005,0.2128781834935175,1.5920959412405967e-06,3.0,0.625,0.07499999999999996,0.08000000000000007,0.625,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,300.0,2.0,50.0,0.000501619201873906,0.06359790641291625,1.420491840491963e-09,3.0,0.63,0.08000000000000007,0.08499999999999996,0.63,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,400.0,2.0,50.0,3.162860932028687e-05,0.01952088368924488,1.2673843088657188e-12,3.0,0.615,0.10499999999999998,0.615,0.615,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
30000.0,500.0,2.0,50.0,1.9945183861837627e-06,0.006062356077583156,1.1307794530967416e-15,3.0,0.625,0.09499999999999997,0.09999999999999998,0.625,100.0,23.377223398316207,10.0,2.0,0.034363175535480975,0.0034363175535480975,1.0,0.3333333333333333
